breed,disease,food,ingredients
"Fox terrier, wire hair",Megaesophagus,Beef liver & Sweet potato with Pumpkin seeds,"Beef liver, Sweet potato, Pumpkin seeds"
"Fox terrier, wire hair",Megaesophagus,Beef liver & Sweet potato with Sunflower seeds,"Beef liver, Sweet potato, Sunflower seeds"
"Fox terrier, wire hair",Megaesophagus,Beef liver with Spinach & Sweet potato,"Beef liver, Spinach, Sweet potato"
"Fox terrier, wire hair",Megaesophagus,Belly Balance Chicken breast Mix,"Chicken breast, Rice (blended), Spinach, Sunflower seeds"
"Fox terrier, wire hair",Megaesophagus,Digest Ease Chicken Breast (pureed/meatball) Dinner,"Chicken Breast (pureed/meatball), Sweet Potato (mashed), Spinach, Pumpkin seeds"
"Fox terrier, wire hair",Megaesophagus,Eggs & Spinach with Sunflower seeds,"Eggs, Spinach, Sunflower seeds"
"Fox terrier, wire hair",Megaesophagus,Eggs with Spinach & Sweet potato,"Eggs, Spinach, Sweet potato"
"Fox terrier, wire hair",Megaesophagus,Gentle Gut Eggs Plate,"Eggs, Sweet potato, Spinach, Pumpkin seeds"
"Fox terrier, wire hair",Megaesophagus,Gut Heal Salmon Stew #2,"Salmon, Rice (moist), Spinach, Sunflower seeds"
"Fox terrier, wire hair",Megaesophagus,Mackerel with Spinach & Sweet potato,"Mackerel, Spinach, Sweet potato"
"Fox terrier, wire hair",Megaesophagus,Sardines & Spinach with Pumpkin seeds,"Sardines, Spinach, Pumpkin seeds"
"Fox terrier, wire hair",Megaesophagus,Sardines & Spinach with Sunflower seeds,"Sardines, Spinach, Sunflower seeds"
"Fox terrier, wire hair",Megaesophagus,Sardines & Sweet potato with Sunflower seeds,"Sardines, Sweet potato, Sunflower seeds"
"Fox terrier, wire hair",Megaesophagus,Sardines with Spinach & Sweet potato,"Sardines, Spinach, Sweet potato"
"Fox terrier, wire hair",Megaesophagus,Tummy Calm Egg Bowl,"Egg (whole), Pumpkin, Spinach, Pumpkin seeds"
"Fox terrier, wire hair",Pulmonic stenosis,Beef heart & Beef liver Stew,"Beef heart, Beef liver"
"Fox terrier, wire hair",Pulmonic stenosis,Beef heart & Chicken Stew,"Beef heart, Chicken"
"Fox terrier, wire hair",Pulmonic stenosis,Beef heart & Mackerel Stew,"Beef heart, Mackerel"
"Fox terrier, wire hair",Pulmonic stenosis,Beef heart & Salmon Stew,"Beef heart, Salmon"
"Fox terrier, wire hair",Pulmonic stenosis,Beef heart & Sardines Stew,"Beef heart, Sardines"
"Fox terrier, wire hair",Pulmonic stenosis,Beef heart & Turkey Stew,"Beef heart, Turkey"
"Fox terrier, wire hair",Pulmonic stenosis,Beef liver & Mackerel Stew,"Beef liver, Mackerel"
"Fox terrier, wire hair",Pulmonic stenosis,Beef liver & Salmon Stew,"Beef liver, Salmon"
"Fox terrier, wire hair",Pulmonic stenosis,Beef liver & Sardines Stew,"Beef liver, Sardines"
"Fox terrier, wire hair",Pulmonic stenosis,Cardio Shield Egg Stew,"Egg (whole), Sweet potato, Spinach, Pumpkin seeds"
"Fox terrier, wire hair",Pulmonic stenosis,Chicken & Beef Stew,"Chicken, Beef"
"Fox terrier, wire hair",Pulmonic stenosis,Chicken & Sardines Stew,"Chicken, Sardines"
"Fox terrier, wire hair",Pulmonic stenosis,Heart Guard Chicken heart Bowl,"Chicken heart, Sweet potato, Spinach, Blueberry"
"Fox terrier, wire hair",Pulmonic stenosis,Heart Health Beef heart Plate #5,"Beef heart, Sweet potato, Spinach, Blueberry"
"Fox terrier, wire hair",Pulmonic stenosis,Lamb & Herring Stew,"Lamb, Herring"
"Fox terrier, wire hair",Pulmonic stenosis,Sardines & Herring Stew,"Sardines, Herring"
"Fox terrier, wire hair",Pulmonic stenosis,Strong Heart Salmon Dinner #3,"Salmon, Sweet potato, Spinach, Blueberry"
"Fox terrier, wire hair",Pulmonic stenosis,Taurine Boost Sardine Mix #4,"Sardine, Sweet potato, Spinach, Pumpkin seeds"
"Fox terrier, wire hair",Pulmonic stenosis,Turkey & Lamb Stew,"Turkey, Lamb"
"Fox terrier, wire hair",Pulmonic stenosis,Turkey & Mackerel Stew,"Turkey, Mackerel"
"Fox terrier, wire hair",Tetralogy of Fallot,Beef heart & Spinach Kidney beans Stew,"Beef heart, Spinach, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Beef heart & Spinach Lentils Stew,"Beef heart, Spinach, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Beef liver & Kidney beans Stew,"Beef liver, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Beef liver & Lentils Stew,"Beef liver, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Care Blend Sardine Plate #5,"Sardine, Sweet potato, Kidney beans, Spinach, Blueberries"
"Fox terrier, wire hair",Tetralogy of Fallot,Chicken & Broccoli Kidney beans Stew,"Chicken, Broccoli, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Chicken & Broccoli Lentils Stew,"Chicken, Broccoli, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Health Guard Salmon Mix #4,"Salmon, Sweet potato, Kale, Kidney beans, Pumpkin seeds"
"Fox terrier, wire hair",Tetralogy of Fallot,Lean beef & Kidney beans Stew,"Lean beef, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Lean beef & Lentils Stew,"Lean beef, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Mackerel & Lentils Stew,"Mackerel, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Nourish Chicken heart Stew,"Chicken heart, Sweet potato, Bell pepper, Broccoli, Pumpkin seeds"
"Fox terrier, wire hair",Tetralogy of Fallot,Salmon & Kidney beans Stew,"Salmon, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Salmon & Lentils Stew,"Salmon, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Sardines & Kale Kidney beans Stew,"Sardines, Kale, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Sardines & Kale Lentils Stew,"Sardines, Kale, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Turkey & Bell pepper Kidney beans Stew,"Turkey, Bell pepper, Kidney beans"
"Fox terrier, wire hair",Tetralogy of Fallot,Turkey & Bell pepper Lentils Stew,"Turkey, Bell pepper, Lentils"
"Fox terrier, wire hair",Tetralogy of Fallot,Vitality Egg Dinner #3,"Egg (whole), Sweet potato, Broccoli, Kale, Blueberries"
"Fox terrier, wire hair",Tetralogy of Fallot,Wellness Beef liver Bowl #1,"Beef liver, Sweet potato, Spinach, Bell pepper, Blueberries"
French bulldog,Cataracts,Beef & Chickpeas Stew,"Beef, Chickpeas"
French bulldog,Cataracts,Beef & Sweet potato Chickpeas Stew,"Beef, Sweet potato, Chickpeas"
French bulldog,Cataracts,Bright Eyes Egg yolk Bowl,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry"
French bulldog,Cataracts,Clear Sight Sardine Dinner,"Sardine, Pumpkin, Kale, Spinach, Blueberry"
French bulldog,Cataracts,Egg yolk & Kale Bowl with Blueberries,"Egg yolk, Kale, Blueberries"
French bulldog,Cataracts,Egg yolk & Kale Chickpeas Stew,"Egg yolk, Kale, Chickpeas"
French bulldog,Cataracts,Egg yolk & Spinach Chickpeas Stew,"Egg yolk, Spinach, Chickpeas"
French bulldog,Cataracts,Eye Protect Herring Plate,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry"
French bulldog,Cataracts,Herring & Bell pepper Chickpeas Stew,"Herring, Bell pepper, Chickpeas"
French bulldog,Cataracts,Herring & Corn Chickpeas Stew,"Herring, Corn, Chickpeas"
French bulldog,Cataracts,Mackerel & Broccoli Chickpeas Stew,"Mackerel, Broccoli, Chickpeas"
French bulldog,Cataracts,Mackerel & Peas Chickpeas Stew,"Mackerel, Peas, Chickpeas"
French bulldog,Cataracts,Oysters & Bell pepper Chickpeas Stew,"Oysters, Bell pepper, Chickpeas"
French bulldog,Cataracts,Oysters & Corn Chickpeas Stew,"Oysters, Corn, Chickpeas"
French bulldog,Cataracts,Retina Guard Beef Mix,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds"
French bulldog,Cataracts,Salmon & Kale Chickpeas Stew,"Salmon, Kale, Chickpeas"
French bulldog,Cataracts,Salmon & Spinach Chickpeas Stew,"Salmon, Spinach, Chickpeas"
French bulldog,Cataracts,Sardines & Broccoli Chickpeas Stew,"Sardines, Broccoli, Chickpeas"
French bulldog,Cataracts,Sardines & Peas Chickpeas Stew,"Sardines, Peas, Chickpeas"
French bulldog,Cataracts,Vision Shield Salmon Stew,"Salmon, Sweet potato, Carrot, Kale, Sunflower seeds"
French bulldog,Cleft lip/palate,Beef & Pumpkin Lentils Stew,"Beef, Pumpkin, Lentils"
French bulldog,Cleft lip/palate,Beef & Sweet potato Lentils Stew,"Beef, Sweet potato, Lentils"
French bulldog,Cleft lip/palate,Beef liver & Asparagus Lentils Stew,"Beef liver, Asparagus, Lentils"
French bulldog,Cleft lip/palate,Beef liver & Broccoli Lentils Stew,"Beef liver, Broccoli, Lentils"
French bulldog,Cleft lip/palate,Beef liver & Carrot Lentils Stew,"Beef liver, Carrot, Lentils"
French bulldog,Cleft lip/palate,Beef liver & Spinach Lentils Stew,"Beef liver, Spinach, Lentils"
French bulldog,Cleft lip/palate,Beef liver & Spinach with Pumpkin seeds,"Beef liver, Spinach, Pumpkin seeds"
French bulldog,Cleft lip/palate,Beef liver with Spinach & Broccoli,"Beef liver, Spinach, Broccoli"
French bulldog,Cleft lip/palate,Care Blend Beef Plate,"Beef, Sweet potato, Broccoli, Spinach, Pumpkin seeds"
French bulldog,Cleft lip/palate,Eggs & Asparagus Lentils Stew,"Eggs, Asparagus, Lentils"
French bulldog,Cleft lip/palate,Eggs & Carrot Lentils Stew,"Eggs, Carrot, Lentils"
French bulldog,Cleft lip/palate,Eggs & Spinach Lentils Stew,"Eggs, Spinach, Lentils"
French bulldog,Cleft lip/palate,Health Guard Egg Mix,"Egg (whole), Pumpkin, Carrot, Broccoli, Pumpkin seeds"
French bulldog,Cleft lip/palate,Nourish Sardine Stew,"Sardine, Pumpkin, Spinach, Asparagus, Pumpkin seeds"
French bulldog,Cleft lip/palate,Oysters & Asparagus Lentils Stew,"Oysters, Asparagus, Lentils"
French bulldog,Cleft lip/palate,Oysters & Carrot Lentils Stew,"Oysters, Carrot, Lentils"
French bulldog,Cleft lip/palate,Sardines & Broccoli Lentils Stew,"Sardines, Broccoli, Lentils"
French bulldog,Cleft lip/palate,Sardines & Spinach Lentils Stew,"Sardines, Spinach, Lentils"
French bulldog,Cleft lip/palate,Vitality Chicken Liver Dinner,"Chicken Liver, Sweet potato, Asparagus, Carrot, Pumpkin seeds"
French bulldog,Cleft lip/palate,Wellness Beef liver Bowl #1,"Beef liver, Sweet potato, Broccoli, Spinach, Pumpkin seeds"
French bulldog,Entropion,Bright Eyes Egg yolk Bowl #1,"Egg yolk, Pumpkin, Carrot, Kale, Blueberry"
French bulldog,Entropion,Clear Sight Sardine Dinner #3,"Sardine, Pumpkin, Spinach, Carrot, Blueberry"
French bulldog,Entropion,Eye Protect Beef liver Plate #5,"Beef liver, Pumpkin, Kale, Spinach, Blueberry"
French bulldog,Entropion,Mackerel & Pumpkin with Pumpkin seeds,"Mackerel, Pumpkin, Pumpkin seeds"
French bulldog,Entropion,Mackerel with Carrot & Sweet potato,"Mackerel, Carrot, Sweet potato"
French bulldog,Entropion,Retina Guard Beef Mix #4,"Beef, Sweet potato, Carrot, Kale, Pumpkin seeds"
French bulldog,Entropion,Salmon & Carrot with Pumpkin seeds,"Salmon, Carrot, Pumpkin seeds"
French bulldog,Entropion,Salmon & Mackerel Stew with Carrot,"Salmon, Mackerel, Carrot"
French bulldog,Entropion,Salmon & Sardines Stew with Carrot,"Salmon, Sardines, Carrot"
French bulldog,Entropion,Salmon & Sardines Stew with Sweet potato,"Salmon, Sardines, Sweet potato"
French bulldog,Entropion,Salmon & Sweet potato with Pumpkin seeds,"Salmon, Sweet potato, Pumpkin seeds"
French bulldog,Entropion,Salmon with Carrot & Pumpkin,"Salmon, Carrot, Pumpkin"
French bulldog,Entropion,Salmon with Carrot & Sweet potato,"Salmon, Carrot, Sweet potato"
French bulldog,Entropion,Salmon with Sweet potato & Pumpkin,"Salmon, Sweet potato, Pumpkin"
French bulldog,Entropion,Sardines & Carrot with Pumpkin seeds,"Sardines, Carrot, Pumpkin seeds"
French bulldog,Entropion,Sardines & Pumpkin with Pumpkin seeds,"Sardines, Pumpkin, Pumpkin seeds"
French bulldog,Entropion,Sardines & Sweet potato with Pumpkin seeds,"Sardines, Sweet potato, Pumpkin seeds"
French bulldog,Entropion,Sardines with Carrot & Pumpkin,"Sardines, Carrot, Pumpkin"
French bulldog,Entropion,Sardines with Carrot & Sweet potato,"Sardines, Carrot, Sweet potato"
French bulldog,Entropion,Vision Shield Salmon Stew #2,"Salmon, Sweet potato, Kale, Spinach, Pumpkin seeds"
French bulldog,Hemivertebra,Beef trachea & Brown rice Bowl,"Beef trachea, Brown rice"
French bulldog,Hemivertebra,Beef trachea & Oats Porridge,"Beef trachea, Oats"
French bulldog,Hemivertebra,Bone broth & Brown rice Bowl,"Bone broth, Brown rice"
French bulldog,Hemivertebra,Bone broth & Oats Porridge,"Bone broth, Oats"
French bulldog,Hemivertebra,Cartilage Care Egg Dinner,"Egg (whole), Oats, Broccoli, Spinach, Bone broth"
French bulldog,Hemivertebra,Chicken feet & Spinach Brown Rice Bowl,"Chicken feet, Spinach, Brown rice"
French bulldog,Hemivertebra,Chicken feet & Spinach Oat Porridge,"Chicken feet, Spinach, Oats"
French bulldog,Hemivertebra,Chicken sternum cartilage & Brown rice Bowl,"Chicken sternum cartilage, Brown rice"
French bulldog,Hemivertebra,Chicken sternum cartilage & Oats Porridge,"Chicken sternum cartilage, Oats"
French bulldog,Hemivertebra,Flex & Move Chicken feet Stew,"Chicken feet, Brown rice, Spinach, Broccoli, Pumpkin seeds"
French bulldog,Hemivertebra,Green-lipped mussel & Brown rice Bowl,"Green-lipped mussel, Brown rice"
French bulldog,Hemivertebra,Green-lipped mussel & Oats Porridge,"Green-lipped mussel, Oats"
French bulldog,Hemivertebra,Joint Shield Sardine Bowl,"Sardine, Sweet potato, Broccoli, Spinach, Bone broth"
French bulldog,Hemivertebra,Joint Support Beef trachea Plate,"Beef trachea, Brown rice, Broccoli, Spinach, Bone broth"
French bulldog,Hemivertebra,Salmon & Brown rice Bowl,"Salmon, Brown rice"
French bulldog,Hemivertebra,Salmon & Oats Porridge,"Salmon, Oats"
French bulldog,Hemivertebra,Sardines & Brown rice Bowl,"Sardines, Brown rice"
French bulldog,Hemivertebra,Shark cartilage & Brown rice Bowl,"Shark cartilage, Brown rice"
French bulldog,Hemivertebra,Shark cartilage & Oats Porridge,"Shark cartilage, Oats"
French bulldog,Hemivertebra,Strong Bones Salmon Mix,"Salmon, Sweet potato, Spinach, Broccoli, Pumpkin seeds"
French bulldog,Hemophilia,Beef liver & Spinach Kidney beans Stew,"Beef liver, Spinach, Kidney beans"
French bulldog,Hemophilia,Beef liver & Spinach Lentils Stew,"Beef liver, Spinach, Lentils"
French bulldog,Hemophilia,Blood Builder Beef liver Bowl #1,"Beef liver, Pumpkin, Broccoli, Kale, Blueberries"
French bulldog,Hemophilia,Blood Builder Sardine Bowl,"Sardine, Sweet potato, Spinach, Bell pepper"
French bulldog,Hemophilia,Chicken breast & Broccoli Kidney beans Stew,"Chicken breast, Broccoli, Kidney beans"
French bulldog,Hemophilia,Chicken breast & Broccoli Lentils Stew,"Chicken breast, Broccoli, Lentils"
French bulldog,Hemophilia,Eggs & Bell pepper Kidney beans Stew,"Eggs, Bell pepper, Kidney beans"
French bulldog,Hemophilia,Eggs & Bell pepper Lentils Stew,"Eggs, Bell pepper, Lentils"
French bulldog,Hemophilia,Iron Boost Egg Stew #2,"Egg (whole), Sweet potato, Kale, Parsley"
French bulldog,Hemophilia,Iron Boost Lean beef Stew,"Lean beef, Pumpkin, Bell pepper, Kidney beans, Blueberries"
French bulldog,Hemophilia,Lean beef & Kale Kidney beans Stew,"Lean beef, Kale, Kidney beans"
French bulldog,Hemophilia,Lean beef & Kale Lentils Stew,"Lean beef, Kale, Lentils"
French bulldog,Hemophilia,Mackerel & Lentils Stew,"Mackerel, Lentils"
French bulldog,Hemophilia,Salmon & Sweet potato Kidney beans Stew,"Salmon, Sweet potato, Kidney beans"
French bulldog,Hemophilia,Salmon & Sweet potato Lentils Stew,"Salmon, Sweet potato, Lentils"
French bulldog,Hemophilia,Sardines & Kidney beans Stew,"Sardines, Kidney beans"
French bulldog,Hemophilia,Sardines & Lentils Stew,"Sardines, Lentils"
French bulldog,Hemophilia,Turkey & Parsley Kidney beans Stew,"Turkey, Parsley, Kidney beans"
French bulldog,Hemophilia,Turkey & Parsley Lentils Stew,"Turkey, Parsley, Lentils"
French bulldog,Hemophilia,Vital Blood Salmon Dinner #3,"Salmon, Pumpkin, Parsley, Spinach, Blueberries"
French bulldog,Histiocytic ulcerative colitis,Beef & Oats Porridge,"Beef, Oats"
French bulldog,Histiocytic ulcerative colitis,Belly Balance Sardine Mix,"Sardine, Oats, Zucchini, Pumpkin seeds"
French bulldog,Histiocytic ulcerative colitis,Chicken & Lentils Stew,"Chicken, Lentils"
French bulldog,Histiocytic ulcerative colitis,Chicken & Oats Porridge,"Chicken, Oats"
French bulldog,Histiocytic ulcerative colitis,Digest Ease Salmon Dinner,"Salmon, Rice, Zucchini, Pumpkin seeds"
French bulldog,Histiocytic ulcerative colitis,Eggs & Lentils Stew,"Eggs, Lentils"
French bulldog,Histiocytic ulcerative colitis,Eggs & Oats Porridge,"Eggs, Oats"
French bulldog,Histiocytic ulcerative colitis,Gentle Gut Yogurt Plate #5,"Yogurt, Pumpkin, Zucchini, Pumpkin seeds"
French bulldog,Histiocytic ulcerative colitis,Gut Heal Egg White Stew #2,"Egg White, Sweet potato, Zucchini, Pumpkin seeds"
French bulldog,Histiocytic ulcerative colitis,Herring & Lentils Stew,"Herring, Lentils"
French bulldog,Histiocytic ulcerative colitis,Herring & Oats Porridge,"Herring, Oats"
French bulldog,Histiocytic ulcerative colitis,Mackerel & Lentils Stew,"Mackerel, Lentils"
French bulldog,Histiocytic ulcerative colitis,Mackerel & Oats Porridge,"Mackerel, Oats"
French bulldog,Histiocytic ulcerative colitis,Salmon & Pumpkin Lentils Stew,"Salmon, Pumpkin, Lentils"
French bulldog,Histiocytic ulcerative colitis,Salmon & Pumpkin Oat Porridge,"Salmon, Pumpkin, Oats"
French bulldog,Histiocytic ulcerative colitis,Sardines & Sweet potato Lentils Stew,"Sardines, Sweet potato, Lentils"
French bulldog,Histiocytic ulcerative colitis,Sardines & Sweet potato Oat Porridge,"Sardines, Sweet potato, Oats"
French bulldog,Histiocytic ulcerative colitis,Tummy Calm Chicken breast Bowl #1,"Chicken breast, Pumpkin, Zucchini, Pumpkin seeds"
French bulldog,Histiocytic ulcerative colitis,Turkey & Lentils Stew,"Turkey, Lentils"
French bulldog,Histiocytic ulcerative colitis,Turkey & Oats Porridge,"Turkey, Oats"
French bulldog,Intervertebral disk disease,Beef trachea & Brown rice Bowl,"Beef trachea, Brown rice"
French bulldog,Intervertebral disk disease,Beef trachea & Oats Porridge,"Beef trachea, Oats"
French bulldog,Intervertebral disk disease,Bone broth & Brown rice Bowl,"Bone broth, Brown rice"
French bulldog,Intervertebral disk disease,Bone broth & Oats Porridge,"Bone broth, Oats"
French bulldog,Intervertebral disk disease,Cartilage Care Chicken feet Dinner #3,"Chicken feet, Brown rice, Spinach, Broccoli, Blueberry"
French bulldog,Intervertebral disk disease,Chicken feet & Spinach Brown Rice Bowl,"Chicken feet, Spinach, Brown rice"
French bulldog,Intervertebral disk disease,Chicken feet & Spinach Oat Porridge,"Chicken feet, Spinach, Oats"
French bulldog,Intervertebral disk disease,Chicken sternum cartilage & Brown rice Bowl,"Chicken sternum cartilage, Brown rice"
French bulldog,Intervertebral disk disease,Chicken sternum cartilage & Oats Porridge,"Chicken sternum cartilage, Oats"
French bulldog,Intervertebral disk disease,Flex & Move Sardine Stew #2,"Sardine, Banana, Broccoli, Spinach, Flaxseed"
French bulldog,Intervertebral disk disease,Green-lipped mussel & Brown rice Bowl,"Green-lipped mussel, Brown rice"
French bulldog,Intervertebral disk disease,Green-lipped mussel & Oats Porridge,"Green-lipped mussel, Oats"
French bulldog,Intervertebral disk disease,Joint Shield Salmon Bowl #1,"Salmon, Sweet potato, Spinach, Broccoli, Blueberry"
French bulldog,Intervertebral disk disease,Joint Support Chicken breast Plate #5,"Chicken breast, Quinoa, Spinach, Broccoli, Blueberry"
French bulldog,Intervertebral disk disease,Salmon & Brown rice Bowl,"Salmon, Brown rice"
French bulldog,Intervertebral disk disease,Salmon & Oats Porridge,"Salmon, Oats"
French bulldog,Intervertebral disk disease,Sardines & Brown rice Bowl,"Sardines, Brown rice"
French bulldog,Intervertebral disk disease,Shark cartilage & Brown rice Bowl,"Shark cartilage, Brown rice"
French bulldog,Intervertebral disk disease,Shark cartilage & Oats Porridge,"Shark cartilage, Oats"
French bulldog,Intervertebral disk disease,Strong Bones Egg Mix #4,"Egg (whole), Oats, Broccoli, Spinach, Flaxseed oil"
French bulldog,brachycephalic syndrome,Airway Care Sardine Stew #2,"Sardine, Pumpkin, Green beans, Bell pepper"
French bulldog,brachycephalic syndrome,Breathe Easy Chicken breast Bowl #1,"Chicken breast, Sweet potato, Broccoli (small), Green beans"
French bulldog,brachycephalic syndrome,Breathe Easy White Fish Bowl,"White Fish, Pumpkin, Kale, Broccoli (small)"
French bulldog,brachycephalic syndrome,Clear Air Egg White Mix,"Egg White, Sweet potato, Broccoli, Kale"
French bulldog,brachycephalic syndrome,Lung Support Salmon Dinner,"Salmon, Rice, Bell pepper, Broccoli"
French bulldog,brachycephalic syndrome,Mackerel & Herring Stew with Sweet potato,"Mackerel, Herring, Sweet potato"
French bulldog,brachycephalic syndrome,Mackerel with Broccoli & Bell pepper,"Mackerel, Broccoli, Bell pepper"
French bulldog,brachycephalic syndrome,Salmon & Mackerel Stew with Broccoli,"Salmon, Mackerel, Broccoli"
French bulldog,brachycephalic syndrome,Salmon & Sardines Stew with Bell pepper,"Salmon, Sardines, Bell pepper"
French bulldog,brachycephalic syndrome,Salmon & Sardines Stew with Broccoli,"Salmon, Sardines, Broccoli"
French bulldog,brachycephalic syndrome,Salmon with Bell pepper & Kale,"Salmon, Bell pepper, Kale"
French bulldog,brachycephalic syndrome,Salmon with Bell pepper & Sweet potato,"Salmon, Bell pepper, Sweet potato"
French bulldog,brachycephalic syndrome,Salmon with Broccoli & Bell pepper,"Salmon, Broccoli, Bell pepper"
French bulldog,brachycephalic syndrome,Salmon with Broccoli & Kale,"Salmon, Broccoli, Kale"
French bulldog,brachycephalic syndrome,Salmon with Broccoli & Sweet potato,"Salmon, Broccoli, Sweet potato"
French bulldog,brachycephalic syndrome,Sardines & Mackerel Stew with Sweet potato,"Sardines, Mackerel, Sweet potato"
French bulldog,brachycephalic syndrome,Sardines with Bell pepper & Kale,"Sardines, Bell pepper, Kale"
French bulldog,brachycephalic syndrome,Sardines with Broccoli & Bell pepper,"Sardines, Broccoli, Bell pepper"
French bulldog,brachycephalic syndrome,Sardines with Broccoli & Kale,"Sardines, Broccoli, Kale"
French bulldog,brachycephalic syndrome,Sardines with Broccoli & Sweet potato,"Sardines, Broccoli, Sweet potato"
German shepherd,Cataracts,Beef & Chickpeas Stew,"Beef, Chickpeas"
German shepherd,Cataracts,Beef & Sweet potato Chickpeas Stew,"Beef, Sweet potato, Chickpeas"
German shepherd,Cataracts,Bright Eyes Egg yolk Bowl,"Egg yolk, Pumpkin, Broccoli, Carrot, Blueberry"
German shepherd,Cataracts,Clear Sight Sardine Dinner,"Sardine, Pumpkin, Kale, Spinach, Blueberry"
German shepherd,Cataracts,Egg yolk & Kale Bowl with Blueberries,"Egg yolk, Kale, Blueberries"
German shepherd,Cataracts,Egg yolk & Kale Chickpeas Stew,"Egg yolk, Kale, Chickpeas"
German shepherd,Cataracts,Egg yolk & Spinach Chickpeas Stew,"Egg yolk, Spinach, Chickpeas"
German shepherd,Cataracts,Eye Protect Herring Plate,"Herring, Pumpkin, Bell pepper, Chickpeas, Blueberry"
German shepherd,Cataracts,Herring & Bell pepper Chickpeas Stew,"Herring, Bell pepper, Chickpeas"
German shepherd,Cataracts,Herring & Corn Chickpeas Stew,"Herring, Corn, Chickpeas"
German shepherd,Cataracts,Mackerel & Broccoli Chickpeas Stew,"Mackerel, Broccoli, Chickpeas"
German shepherd,Cataracts,Mackerel & Peas Chickpeas Stew,"Mackerel, Peas, Chickpeas"
German shepherd,Cataracts,Oysters & Bell pepper Chickpeas Stew,"Oysters, Bell pepper, Chickpeas"
German shepherd,Cataracts,Oysters & Corn Chickpeas Stew,"Oysters, Corn, Chickpeas"
German shepherd,Cataracts,Retina Guard Beef Mix,"Beef, Sweet potato, Spinach, Bell pepper, Sunflower seeds"
German shepherd,Cataracts,Salmon & Kale Chickpeas Stew,"Salmon, Kale, Chickpeas"
German shepherd,Cataracts,Salmon & Spinach Chickpeas Stew,"Salmon, Spinach, Chickpeas"
German shepherd,Cataracts,Sardines & Broccoli Chickpeas Stew,"Sardines, Broccoli, Chickpeas"
German shepherd,Cataracts,Sardines & Peas Chickpeas Stew,"Sardines, Peas, Chickpeas"
German shepherd,Cataracts,Vision Shield Salmon Stew,"Salmon, Sweet potato, Carrot, Kale, Sunflower seeds"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Beef liver & Brown rice Bowl,"Beef liver, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Beef trachea & Brown rice Bowl,"Beef trachea, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Bone broth & Brown rice Bowl,"Bone broth, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Bone meal & Brown rice Bowl,"Bone meal, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Cartilage Care Chicken feet Dinner,"Chicken feet, Sweet potato, Spinach, Kale, Pumpkin seeds"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Chicken feet & Kale Brown Rice Bowl,"Chicken feet, Kale, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Chicken feet & Spinach Brown Rice Bowl,"Chicken feet, Spinach, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Eggs & Brown rice Bowl,"Eggs, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Flex & Move Sardine Stew,"Sardine, Brown rice, Kale, Spinach, Flaxseed"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Green-lipped mussel & Kale Brown Rice Bowl,"Green-lipped mussel, Kale, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Green-lipped mussel & Spinach Brown Rice Bowl,"Green-lipped mussel, Spinach, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Joint Shield Salmon Bowl,"Salmon, Sweet potato, Spinach, Kale, Bone broth"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Joint Support Chicken breast Plate,"Chicken breast, Sweet potato, Spinach, Kale, Bone broth"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Mackerel & Brown rice Bowl,"Mackerel, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Pork cartilage & Brown rice Bowl,"Pork cartilage, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Salmon & Brown rice Bowl,"Salmon, Brown rice"
German shepherd,Cervical vertebral instability (Wobbler syndrome),Sardines & Brown rice Bowl,"Sardines, Brown rice"
